nombre_cancion,nombre_artista,duracion,oyentes,reproducciones,url
Stateside + Zara Larsson,PinkPantheress,176,1013640,14787193,https://www.last.fm/music/PinkPantheress/_/Stateside+%252B+Zara+Larsson
Body to Body,BTS,189,250542,2615165,https://www.last.fm/music/BTS/_/Body+to+Body
Hooligan,BTS,182,233389,2367820,https://www.last.fm/music/BTS/_/Hooligan
Swim,BTS,159,231653,6050938,https://www.last.fm/music/BTS/_/Swim
FYA,BTS,180,227425,2324099,https://www.last.fm/music/BTS/_/FYA
Aliens,BTS,167,224800,2281742,https://www.last.fm/music/BTS/_/Aliens
Babydoll,Dominic Fike,97,1480221,21978768,https://www.last.fm/music/Dominic+Fike/_/Babydoll
2.0,BTS,169,216821,2216266,https://www.last.fm/music/BTS/_/2.0
Merry Go Round,BTS,229,212021,2153589,https://www.last.fm/music/BTS/_/Merry+Go+Round
American Girls,Harry Styles,213,391227,2224502,https://www.last.fm/music/Harry+Styles/_/American+Girls
Normal,BTS,181,207080,2334252,https://www.last.fm/music/BTS/_/Normal
Fame Is a Gun,Addison Rae,183,981575,18449481,https://www.last.fm/music/Addison+Rae/_/Fame+Is+a+Gun
Like Animals,BTS,189,204770,2156637,https://www.last.fm/music/BTS/_/Like+Animals
they don’t know ’bout us,BTS,164,202633,2098116,https://www.last.fm/music/BTS/_/they+don%E2%80%99t+know+%E2%80%99bout+us
No. 29,BTS,98,198965,2058432,https://www.last.fm/music/BTS/_/No.+29
One More Night,BTS,167,198673,2048024,https://www.last.fm/music/BTS/_/One+More+Night
Please,BTS,172,195994,2027350,https://www.last.fm/music/BTS/_/Please
Manchild,Sabrina Carpenter,213,1196536,23003796,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild
Into the Sun,BTS,227,189409,1981099,https://www.last.fm/music/BTS/_/Into+the+Sun
Dracula,Tame Impala,205,943880,9151425,https://www.last.fm/music/Tame+Impala/_/Dracula
Midnight Sun,Zara Larsson,189,651955,10618300,https://www.last.fm/music/Zara+Larsson/_/Midnight+Sun
"Good Luck, Babe!",Chappell Roan,218,2046911,58611612,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21"
The Less I Know the Better,Tame Impala,234,2709784,47117800,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better
DtMF,Bad Bunny,237,1238620,15584406,https://www.last.fm/music/Bad+Bunny/_/DtMF
End of Beginning,Djo,159,1961416,33242571,https://www.last.fm/music/Djo/_/End+of+Beginning
Taste Back,Harry Styles,221,308701,1862443,https://www.last.fm/music/Harry+Styles/_/Taste+Back
So Easy (To Fall In Love),Olivia Dean,170,815539,7679210,https://www.last.fm/music/Olivia+Dean/_/So+Easy+(To+Fall+In+Love)
Creep,Radiohead,235,4031390,58975203,https://www.last.fm/music/Radiohead/_/Creep
